Quarter,Age,Gender,Location,Total Stays,Average Length of Stay (in days)
2020Q1,10-19 ,Female,Borders,25,2
2020Q1,10-19 ,Male,Borders,27,2
2020Q1,20-29 ,Female,Borders,64,2
2020Q1,20-29 ,Male,Borders,55,2
2020Q1,30-39 ,Female,Borders,58,2
2020Q1,30-39 ,Male,Borders,62,2
2020Q1,40-49 ,Female,Borders,79,3
2020Q1,40-49 ,Male,Borders,72,3
2020Q1,50-59 ,Female,Borders,150,3
2020Q1,50-59 ,Male,Borders,170,4
2020Q1,60-69 ,Female,Borders,202,4
2020Q1,60-69 ,Male,Borders,225,5
2020Q1,70-79 ,Female,Borders,300,5
2020Q1,70-79 ,Male,Borders,326,5
2020Q1,80-89 ,Female,Borders,340,7
2020Q1,80-89 ,Male,Borders,275,5
2020Q1,90 +,Female,Borders,112,10
2020Q1,90 +,Male,Borders,64,10
2020Q2,0-9 ,Female,Borders,0,NA
2020Q2,0-9 ,Male,Borders,5,0
2020Q2,10-19 ,Female,Borders,10,1
2020Q2,10-19 ,Male,Borders,15,2
2020Q2,20-29 ,Female,Borders,40,2
2020Q2,20-29 ,Male,Borders,35,1
2020Q2,30-39 ,Female,Borders,44,2
2020Q2,30-39 ,Male,Borders,41,2
2020Q2,40-49 ,Female,Borders,65,2
2020Q2,40-49 ,Male,Borders,77,2
2020Q2,50-59 ,Female,Borders,120,3
2020Q2,50-59 ,Male,Borders,115,4
2020Q2,60-69 ,Female,Borders,157,5
2020Q2,60-69 ,Male,Borders,169,3
2020Q2,70-79 ,Female,Borders,233,5
2020Q2,70-79 ,Male,Borders,240,4
2020Q2,80-89 ,Female,Borders,259,6
2020Q2,80-89 ,Male,Borders,223,5
2020Q2,90 +,Female,Borders,90,9
2020Q2,90 +,Male,Borders,51,6
2020Q3,0-9 ,Female,Borders,5,1
2020Q3,0-9 ,Male,Borders,10,1
2020Q3,10-19 ,Female,Borders,30,2
2020Q3,10-19 ,Male,Borders,20,2
2020Q3,20-29 ,Female,Borders,50,3
2020Q3,20-29 ,Male,Borders,49,2
2020Q3,30-39 ,Female,Borders,59,2
2020Q3,30-39 ,Male,Borders,54,2
2020Q3,40-49 ,Female,Borders,81,2
2020Q3,40-49 ,Male,Borders,74,3
2020Q3,50-59 ,Female,Borders,150,3
2020Q3,50-59 ,Male,Borders,146,3
2020Q3,60-69 ,Female,Borders,149,3
2020Q3,60-69 ,Male,Borders,159,5
2020Q3,70-79 ,Female,Borders,275,5
2020Q3,70-79 ,Male,Borders,311,5
2020Q3,80-89 ,Female,Borders,282,5
2020Q3,80-89 ,Male,Borders,239,4
2020Q3,90 +,Female,Borders,105,9
2020Q3,90 +,Male,Borders,52,9
2020Q4,0-9 ,Female,Borders,5,0
2020Q4,0-9 ,Male,Borders,5,0
2020Q4,10-19 ,Female,Borders,19,1
2020Q4,10-19 ,Male,Borders,15,1
2020Q4,20-29 ,Female,Borders,43,2
2020Q4,20-29 ,Male,Borders,55,1
2020Q4,30-39 ,Female,Borders,61,3
2020Q4,30-39 ,Male,Borders,54,1
2020Q4,40-49 ,Female,Borders,78,2
2020Q4,40-49 ,Male,Borders,78,3
2020Q4,50-59 ,Female,Borders,157,3
2020Q4,50-59 ,Male,Borders,136,3
2020Q4,60-69 ,Female,Borders,168,4
2020Q4,60-69 ,Male,Borders,183,4
2020Q4,70-79 ,Female,Borders,254,5
2020Q4,70-79 ,Male,Borders,264,5
2020Q4,80-89 ,Female,Borders,309,6
2020Q4,80-89 ,Male,Borders,253,6
2020Q4,90 +,Female,Borders,102,11
2020Q4,90 +,Male,Borders,70,12
2021Q1,0-9 ,Female,Borders,5,1
2021Q1,0-9 ,Male,Borders,5,1
2021Q1,10-19 ,Female,Borders,20,10
2021Q1,10-19 ,Male,Borders,15,5
2021Q1,20-29 ,Female,Borders,44,3
2021Q1,20-29 ,Male,Borders,40,3
2021Q1,30-39 ,Female,Borders,61,3
2021Q1,30-39 ,Male,Borders,45,6
2021Q1,40-49 ,Female,Borders,64,3
2021Q1,40-49 ,Male,Borders,70,4
2021Q1,50-59 ,Female,Borders,124,5
2021Q1,50-59 ,Male,Borders,140,4
2021Q1,60-69 ,Female,Borders,162,4
2021Q1,60-69 ,Male,Borders,182,4
2021Q1,70-79 ,Female,Borders,270,6
2021Q1,70-79 ,Male,Borders,266,9
2021Q1,80-89 ,Female,Borders,269,7
2021Q1,80-89 ,Male,Borders,240,7
2021Q1,90 +,Female,Borders,105,11
2021Q1,90 +,Male,Borders,80,12
2021Q2,0-9 ,Female,Borders,0,NA
2021Q2,0-9 ,Male,Borders,10,1
2021Q2,10-19 ,Female,Borders,23,2
2021Q2,10-19 ,Male,Borders,23,1
2021Q2,20-29 ,Female,Borders,40,2
2021Q2,20-29 ,Male,Borders,48,2
2021Q2,30-39 ,Female,Borders,64,3
2021Q2,30-39 ,Male,Borders,67,2
2021Q2,40-49 ,Female,Borders,89,3
2021Q2,40-49 ,Male,Borders,93,3
2021Q2,50-59 ,Female,Borders,164,3
2021Q2,50-59 ,Male,Borders,175,5
2021Q2,60-69 ,Female,Borders,198,4
2021Q2,60-69 ,Male,Borders,220,5
2021Q2,70-79 ,Female,Borders,297,6
2021Q2,70-79 ,Male,Borders,344,5
2021Q2,80-89 ,Female,Borders,330,7
2021Q2,80-89 ,Male,Borders,264,10
2021Q2,90 +,Female,Borders,101,10
2021Q2,90 +,Male,Borders,70,13
2021Q3,0-9 ,Female,Borders,5,0
2021Q3,0-9 ,Male,Borders,0,NA
2021Q3,10-19 ,Female,Borders,13,1
2021Q3,10-19 ,Male,Borders,30,2
2021Q3,20-29 ,Female,Borders,26,3
2021Q3,20-29 ,Male,Borders,40,3
2021Q3,30-39 ,Female,Borders,69,3
2021Q3,30-39 ,Male,Borders,41,4
2021Q3,40-49 ,Female,Borders,60,2
2021Q3,40-49 ,Male,Borders,57,5
2021Q3,50-59 ,Female,Borders,131,3
2021Q3,50-59 ,Male,Borders,150,5
2021Q3,60-69 ,Female,Borders,182,5
2021Q3,60-69 ,Male,Borders,208,6
2021Q3,70-79 ,Female,Borders,257,6
2021Q3,70-79 ,Male,Borders,304,6
2021Q3,80-89 ,Female,Borders,283,7
2021Q3,80-89 ,Male,Borders,271,7
2021Q3,90 +,Female,Borders,110,10
2021Q3,90 +,Male,Borders,69,13
2020Q1,0-9 ,Female,Dumfries and Galloway,20,1
2020Q1,0-9 ,Male,Dumfries and Galloway,22,1
2020Q1,10-19 ,Female,Dumfries and Galloway,54,1
2020Q1,10-19 ,Male,Dumfries and Galloway,46,1
2020Q1,20-29 ,Female,Dumfries and Galloway,99,2
2020Q1,20-29 ,Male,Dumfries and Galloway,79,3
2020Q1,30-39 ,Female,Dumfries and Galloway,127,3
2020Q1,30-39 ,Male,Dumfries and Galloway,99,3
2020Q1,40-49 ,Female,Dumfries and Galloway,123,3
2020Q1,40-49 ,Male,Dumfries and Galloway,118,4
2020Q1,50-59 ,Female,Dumfries and Galloway,300,4
2020Q1,50-59 ,Male,Dumfries and Galloway,253,6
2020Q1,60-69 ,Female,Dumfries and Galloway,324,3
2020Q1,60-69 ,Male,Dumfries and Galloway,362,9
2020Q1,70-79 ,Female,Dumfries and Galloway,433,4
2020Q1,70-79 ,Male,Dumfries and Galloway,494,2
2020Q1,80-89 ,Female,Dumfries and Galloway,425,6
2020Q1,80-89 ,Male,Dumfries and Galloway,385,6
2020Q1,90 +,Female,Dumfries and Galloway,167,13
2020Q1,90 +,Male,Dumfries and Galloway,62,23
2020Q2,0-9 ,Female,Dumfries and Galloway,10,1
2020Q2,0-9 ,Male,Dumfries and Galloway,10,1
2020Q2,10-19 ,Female,Dumfries and Galloway,28,4
2020Q2,10-19 ,Male,Dumfries and Galloway,23,1
2020Q2,20-29 ,Female,Dumfries and Galloway,89,2
2020Q2,20-29 ,Male,Dumfries and Galloway,74,1
2020Q2,30-39 ,Female,Dumfries and Galloway,100,2
2020Q2,30-39 ,Male,Dumfries and Galloway,60,3
2020Q2,40-49 ,Female,Dumfries and Galloway,129,3
2020Q2,40-49 ,Male,Dumfries and Galloway,95,4
2020Q2,50-59 ,Female,Dumfries and Galloway,165,5
2020Q2,50-59 ,Male,Dumfries and Galloway,205,4
2020Q2,60-69 ,Female,Dumfries and Galloway,212,5
2020Q2,60-69 ,Male,Dumfries and Galloway,244,5
2020Q2,70-79 ,Female,Dumfries and Galloway,309,6
2020Q2,70-79 ,Male,Dumfries and Galloway,359,6
2020Q2,80-89 ,Female,Dumfries and Galloway,291,7
2020Q2,80-89 ,Male,Dumfries and Galloway,255,8
2020Q2,90 +,Female,Dumfries and Galloway,93,15
2020Q2,90 +,Male,Dumfries and Galloway,43,7
2020Q3,0-9 ,Female,Dumfries and Galloway,23,1
2020Q3,0-9 ,Male,Dumfries and Galloway,18,1
2020Q3,10-19 ,Female,Dumfries and Galloway,52,1
2020Q3,10-19 ,Male,Dumfries and Galloway,48,1
2020Q3,20-29 ,Female,Dumfries and Galloway,83,2
2020Q3,20-29 ,Male,Dumfries and Galloway,87,2
2020Q3,30-39 ,Female,Dumfries and Galloway,121,5
2020Q3,30-39 ,Male,Dumfries and Galloway,97,2
2020Q3,40-49 ,Female,Dumfries and Galloway,115,5
2020Q3,40-49 ,Male,Dumfries and Galloway,126,3
2020Q3,50-59 ,Female,Dumfries and Galloway,242,4
2020Q3,50-59 ,Male,Dumfries and Galloway,264,4
2020Q3,60-69 ,Female,Dumfries and Galloway,328,4
2020Q3,60-69 ,Male,Dumfries and Galloway,342,4
2020Q3,70-79 ,Female,Dumfries and Galloway,394,2
2020Q3,70-79 ,Male,Dumfries and Galloway,511,6
2020Q3,80-89 ,Female,Dumfries and Galloway,347,7
2020Q3,80-89 ,Male,Dumfries and Galloway,347,7
2020Q3,90 +,Female,Dumfries and Galloway,108,11
2020Q3,90 +,Male,Dumfries and Galloway,75,7
2020Q4,0-9 ,Female,Dumfries and Galloway,10,1
2020Q4,0-9 ,Male,Dumfries and Galloway,19,1
2020Q4,10-19 ,Female,Dumfries and Galloway,46,1
2020Q4,10-19 ,Male,Dumfries and Galloway,33,2
2020Q4,20-29 ,Female,Dumfries and Galloway,99,1
2020Q4,20-29 ,Male,Dumfries and Galloway,79,4
2020Q4,30-39 ,Female,Dumfries and Galloway,109,3
2020Q4,30-39 ,Male,Dumfries and Galloway,93,3
2020Q4,40-49 ,Female,Dumfries and Galloway,124,2
2020Q4,40-49 ,Male,Dumfries and Galloway,151,4
2020Q4,50-59 ,Female,Dumfries and Galloway,277,3
2020Q4,50-59 ,Male,Dumfries and Galloway,260,4
2020Q4,60-69 ,Female,Dumfries and Galloway,309,5
2020Q4,60-69 ,Male,Dumfries and Galloway,347,4
2020Q4,70-79 ,Female,Dumfries and Galloway,418,8
2020Q4,70-79 ,Male,Dumfries and Galloway,459,6
2020Q4,80-89 ,Female,Dumfries and Galloway,393,7
2020Q4,80-89 ,Male,Dumfries and Galloway,377,8
2020Q4,90 +,Female,Dumfries and Galloway,113,12
2020Q4,90 +,Male,Dumfries and Galloway,70,15
2021Q1,0-9 ,Female,Dumfries and Galloway,11,1
2021Q1,0-9 ,Male,Dumfries and Galloway,16,1
2021Q1,10-19 ,Female,Dumfries and Galloway,43,2
2021Q1,10-19 ,Male,Dumfries and Galloway,38,1
2021Q1,20-29 ,Female,Dumfries and Galloway,85,1
2021Q1,20-29 ,Male,Dumfries and Galloway,69,1
2021Q1,30-39 ,Female,Dumfries and Galloway,97,3
2021Q1,30-39 ,Male,Dumfries and Galloway,71,2
2021Q1,40-49 ,Female,Dumfries and Galloway,114,3
2021Q1,40-49 ,Male,Dumfries and Galloway,115,3
2021Q1,50-59 ,Female,Dumfries and Galloway,248,3
2021Q1,50-59 ,Male,Dumfries and Galloway,233,6
2021Q1,60-69 ,Female,Dumfries and Galloway,278,4
2021Q1,60-69 ,Male,Dumfries and Galloway,342,5
2021Q1,70-79 ,Female,Dumfries and Galloway,377,6
2021Q1,70-79 ,Male,Dumfries and Galloway,458,5
2021Q1,80-89 ,Female,Dumfries and Galloway,339,8
2021Q1,80-89 ,Male,Dumfries and Galloway,358,8
2021Q1,90 +,Female,Dumfries and Galloway,118,18
2021Q1,90 +,Male,Dumfries and Galloway,70,10
2021Q2,0-9 ,Female,Dumfries and Galloway,22,1
2021Q2,0-9 ,Male,Dumfries and Galloway,20,1
2021Q2,10-19 ,Female,Dumfries and Galloway,47,2
2021Q2,10-19 ,Male,Dumfries and Galloway,45,2
2021Q2,20-29 ,Female,Dumfries and Galloway,123,2
2021Q2,20-29 ,Male,Dumfries and Galloway,96,2
2021Q2,30-39 ,Female,Dumfries and Galloway,125,2
2021Q2,30-39 ,Male,Dumfries and Galloway,101,3
2021Q2,40-49 ,Female,Dumfries and Galloway,155,2
2021Q2,40-49 ,Male,Dumfries and Galloway,151,5
2021Q2,50-59 ,Female,Dumfries and Galloway,284,4
2021Q2,50-59 ,Male,Dumfries and Galloway,307,3
2021Q2,60-69 ,Female,Dumfries and Galloway,321,4
2021Q2,60-69 ,Male,Dumfries and Galloway,361,4
2021Q2,70-79 ,Female,Dumfries and Galloway,398,6
2021Q2,70-79 ,Male,Dumfries and Galloway,527,6
2021Q2,80-89 ,Female,Dumfries and Galloway,390,10
2021Q2,80-89 ,Male,Dumfries and Galloway,393,6
2021Q2,90 +,Female,Dumfries and Galloway,143,8
2021Q2,90 +,Male,Dumfries and Galloway,81,11
2021Q3,0-9 ,Female,Dumfries and Galloway,11,1
2021Q3,0-9 ,Male,Dumfries and Galloway,24,2
2021Q3,10-19 ,Female,Dumfries and Galloway,64,2
2021Q3,10-19 ,Male,Dumfries and Galloway,46,1
2021Q3,20-29 ,Female,Dumfries and Galloway,82,2
2021Q3,20-29 ,Male,Dumfries and Galloway,87,2
2021Q3,30-39 ,Female,Dumfries and Galloway,117,3
2021Q3,30-39 ,Male,Dumfries and Galloway,106,3
2021Q3,40-49 ,Female,Dumfries and Galloway,152,3
2021Q3,40-49 ,Male,Dumfries and Galloway,169,3
2021Q3,50-59 ,Female,Dumfries and Galloway,224,3
2021Q3,50-59 ,Male,Dumfries and Galloway,255,4
2021Q3,60-69 ,Female,Dumfries and Galloway,294,5
2021Q3,60-69 ,Male,Dumfries and Galloway,331,5
2021Q3,70-79 ,Female,Dumfries and Galloway,389,10
2021Q3,70-79 ,Male,Dumfries and Galloway,489,8
2021Q3,80-89 ,Female,Dumfries and Galloway,382,7
2021Q3,80-89 ,Male,Dumfries and Galloway,349,9
2021Q3,90 +,Female,Dumfries and Galloway,120,15
2021Q3,90 +,Male,Dumfries and Galloway,74,14
2020Q1,0-9 ,Female,Fife,40,0
2020Q1,0-9 ,Male,Fife,35,1
2020Q1,10-19 ,Female,Fife,110,1
2020Q1,10-19 ,Male,Fife,95,1
2020Q1,20-29 ,Female,Fife,275,2
2020Q1,20-29 ,Male,Fife,203,1
2020Q1,30-39 ,Female,Fife,354,2
2020Q1,30-39 ,Male,Fife,236,2
2020Q1,40-49 ,Female,Fife,371,3
2020Q1,40-49 ,Male,Fife,297,4
2020Q1,50-59 ,Female,Fife,568,4
2020Q1,50-59 ,Male,Fife,570,5
2020Q1,60-69 ,Female,Fife,705,9
2020Q1,60-69 ,Male,Fife,773,6
2020Q1,70-79 ,Female,Fife,923,12
2020Q1,70-79 ,Male,Fife,970,8
2020Q1,80-89 ,Female,Fife,786,16
2020Q1,80-89 ,Male,Fife,676,9
2020Q1,90 +,Female,Fife,271,15
2020Q1,90 +,Male,Fife,146,13
2020Q2,0-9 ,Female,Fife,15,2
2020Q2,0-9 ,Male,Fife,30,1
2020Q2,10-19 ,Female,Fife,50,2
2020Q2,10-19 ,Male,Fife,60,1
2020Q2,20-29 ,Female,Fife,163,2
2020Q2,20-29 ,Male,Fife,138,1
2020Q2,30-39 ,Female,Fife,263,2
2020Q2,30-39 ,Male,Fife,173,2
2020Q2,40-49 ,Female,Fife,263,2
2020Q2,40-49 ,Male,Fife,241,4
2020Q2,50-59 ,Female,Fife,439,4
2020Q2,50-59 ,Male,Fife,420,4
2020Q2,60-69 ,Female,Fife,444,3
2020Q2,60-69 ,Male,Fife,533,6
2020Q2,70-79 ,Female,Fife,548,10
2020Q2,70-79 ,Male,Fife,701,9
2020Q2,80-89 ,Female,Fife,490,13
2020Q2,80-89 ,Male,Fife,452,11
2020Q2,90 +,Female,Fife,160,15
2020Q2,90 +,Male,Fife,78,17
2020Q3,0-9 ,Female,Fife,24,1
2020Q3,0-9 ,Male,Fife,58,1
2020Q3,10-19 ,Female,Fife,93,1
2020Q3,10-19 ,Male,Fife,104,1
2020Q3,20-29 ,Female,Fife,229,2
2020Q3,20-29 ,Male,Fife,204,2
2020Q3,30-39 ,Female,Fife,340,3
2020Q3,30-39 ,Male,Fife,255,2
2020Q3,40-49 ,Female,Fife,349,3
2020Q3,40-49 ,Male,Fife,321,3
2020Q3,50-59 ,Female,Fife,533,3
2020Q3,50-59 ,Male,Fife,543,4
2020Q3,60-69 ,Female,Fife,615,6
2020Q3,60-69 ,Male,Fife,763,8
